name,value_m
l0,0.0
l1,0.04
l2,0.04
l3,0.04
l4,0.04
l5,0.04
l6,0.04
l7,0.04
l8,0.04
l9,0.04
l10,0.04
l11,0.04
l12,0.04
l13,0.04
l14,0.04
l15,0.04
l16,0.04
l17,0.04
l18,0.04
l19,0.04
l20,0.04
l21,0.04
l22,0.04
l23,0.04
l24,0.04
l25,0.04
l26,0.04
l27,0.04
l28,0.04
l29,0.04
l30,0.055498
