arm,seed,subset,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,gt50,gt100,fixed_control_gt50,new_gt50,regression_gt10,small_paths_retained
junction_task_only,20260925,junction_5mm,99,99,0,2.439507587717942,9.115666574085635,25.324525468331593,31.697142152784146,0.5959595959595959,0.9494949494949495,0,0,5,0,0,False
junction_task_only,20260925,junction_10mm,341,341,0,2.8677328222446006,10.176576635627692,24.54810160803607,75.69220272670317,0.5395894428152492,0.9472140762463344,1,0,8,1,3,False
junction_task_only,20260925,junction_20mm,760,760,0,2.8478295441579724,9.911425826000293,27.86056680194007,83.91374231460718,0.5421052631578948,0.95,4,0,15,4,10,False
control,20260926,all,8272,8272,0,3.3605550600311105,11.341135940406064,25.91635063728934,125.1157225939232,0.4234767891682785,0.934115087040619,33,5,0,0,0,True
control,20260926,mixed_k32,1111,1111,0,3.7655852437569712,19.98026643131891,85.06073952038011,125.1157225939232,0.3465346534653465,0.8784878487848785,30,5,0,0,0,True
control,20260926,single_domain,7161,7161,0,3.2948408540919254,10.568363245031463,20.938186674029847,73.29373883615656,0.43541404831727415,0.9427454266163944,3,0,0,0,0,True
control,20260926,junction_5mm,99,99,0,3.476465412413795,34.11478594251368,102.4374456663026,104.99972176768412,0.42424242424242425,0.9090909090909091,5,2,0,0,0,True
control,20260926,junction_10mm,341,341,0,3.7870963306411194,18.576199715585517,94.9480687206555,125.1157225939232,0.3724340175953079,0.906158357771261,11,3,0,0,0,True
control,20260926,junction_20mm,760,760,0,3.711623734219631,17.448577792966194,90.48229494540831,125.1157225939232,0.3592105263157895,0.9026315789473685,19,5,0,0,0,True
junction,20260926,all,8272,8272,0,3.773949422548311,11.206702005833534,19.525773719332303,124.59466636342304,0.34574468085106386,0.9316972920696325,15,2,33,15,80,False
junction,20260926,mixed_k32,1111,1111,0,3.7520052431484454,11.103894680940359,18.641590559854688,23.04212534468202,0.31863186318631864,0.9360936093609361,0,0,30,0,1,False
junction,20260926,single_domain,7161,7161,0,3.7785854505819265,11.291938353365008,19.61335658508148,124.59466636342304,0.34995112414467255,0.931015221337802,15,2,3,15,79,False
