arm,group,split,case,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,bounds_violations,centroid_dx_mm,centroid_dy_mm,centroid_dz_mm,centered_rms_scale_ratio,plane_p95_mm,beta_step_max_deg,beta_step_gt7deg_rate,endpoint_beta_gap_deg
control_20260925,targets,diagnostic,fixed_circle_r40_u100,121,121,0,0.7545374261614208,0.979970416455904,0.98995206463429,0.9904690160742068,1.0,1.0,0,-0.25678493266496755,0.14701983682324932,-0.4283360903924723,1.0007377971636378,0.926046874944797,0.08893674695638228,0.0,0.0
control_20260925,targets,diagnostic,retry17_rounded_rectangle_0,360,360,0,3.684448184264105,5.620205185371404,5.925991478420447,5.986539363399544,0.25833333333333336,1.0,0,-0.8336335194149825,0.5068120266663191,1.6970536739427968,1.0056697275317747,2.319332171119147,0.18030247993635035,0.0,0.10488139668695393
control_20260925,targets,diagnostic,retry17_rounded_rectangle_1,360,360,0,3.019265858694177,4.436147164608451,4.797219932636382,4.820467666028509,0.49722222222222223,1.0,0,-0.016429456502908835,0.39274247049471045,1.368417722017248,1.0057907327291598,2.9450223675572267,0.1425656847720299,0.0,0.05063133854365827
control_20260925,targets,diagnostic,retry17_rounded_rectangle_2,360,360,0,2.7699991385101366,5.357010960405867,5.570154753394254,5.583266563513345,0.5527777777777778,1.0,0,1.862657004621644,0.5721510945810312,-0.9799327787844548,1.00060375467194,3.1040452536067544,0.15441520920835577,0.0,0.06578027123592342
control_20260925,targets,diagnostic,retry19_exact_seam_rectangle_0,120,120,0,1.1156797714777973,2.4408783618590615,2.4655429325877516,2.4679205171642176,1.0,1.0,0,-0.0025030996289846876,-0.043855037514445805,-1.241558543627642,0.9957810104394321,,0.15867297838221248,0.0,0.06234425919658389
control_20260925,targets,diagnostic,retry19_exact_seam_rectangle_1,120,120,0,1.0793819951245711,2.5126698350732593,2.533063659411649,2.534911261489352,1.0,1.0,0,-0.03706345477921258,-0.12001456993672294,-1.1117374969767557,0.9998711340430889,,0.15240371849778703,0.0,0.04447328267665709
control_20260925,targets,diagnostic,retry19_exact_seam_rectangle_2,120,120,0,1.0630083838461586,1.9567687036614816,2.008097506121304,2.0109069646357716,1.0,1.0,0,-0.031830027472297864,-0.11016692414831848,-0.5567204582878927,1.0020673400282798,1.9361350877346815,0.12520675899644249,0.0,0.1185942821062239
control_20260925,targets,diagnostic,retry19_seam_between_rectangle_0,120,120,0,1.026233540761504,2.452374427784897,2.4817072721099187,2.4843661160691357,1.0,1.0,0,0.006271656266199077,-0.06694387621187765,-1.2155800454902124,1.0045236534444855,0.7559806641488108,0.14983300604892347,0.0,0.0631041177417478
control_20260925,targets,diagnostic,retry19_seam_between_rectangle_1,120,120,0,1.205038308400777,2.4278746048152198,2.470604092316329,2.47401603447159,1.0,1.0,0,-0.10940138456392116,-0.11871711309492472,-1.050836632633592,1.0054216927344775,1.779778095572621,0.12967882535550834,0.0,0.04687409416991657
control_20260925,targets,diagnostic,retry19_seam_between_rectangle_2,120,120,0,1.0928858335561893,1.809137494339723,1.8440652197875766,1.846463825199728,1.0,1.0,0,-0.12402487232248866,-0.10049008706603882,-0.5581308142123832,1.0026116439685169,1.740882200613812,0.08694745436061607,0.0,0.07873585943096824
control_20260925,targets,diagnostic,retry19_slanted_ellipse,120,120,0,1.1306990130605865,2.448890550356335,2.466683493260181,2.468265473709855,1.0,1.0,0,-0.1131460312378966,-0.08755194112001576,-1.1602292312430569,1.0049367783123901,1.4262863477811347,0.1414882224304604,0.0,0.030253042268102104
control_20260925,targets,diagnostic,retry19_spiral_3d,120,120,0,0.9380300048157311,2.3667975150854406,2.5376034169544446,2.57203372030637,1.0,1.0,0,-0.027194234489299102,-0.09872384015816518,-0.8884020558218606,0.9911288200682347,,0.11587586681655883,0.0,5.622704786081938
control_20260925,targets,diagnostic,retry19_star,120,120,0,1.2406061606691248,2.14271587720006,2.2730277448170697,2.30557953094817,1.0,1.0,0,-0.18201925610170644,-0.061204436496397056,-1.0341766479767527,1.00553098138067,1.2308304508250918,0.1654399883024026,0.0,0.0753395478661794
control_20260925,targets,diagnostic,retry19_zero_to_boundary_0,120,120,0,1.9638473586681275,7.328961777242643,7.6005122261607525,7.630010290306163,0.7666666666666667,1.0,0,1.450175019989249,0.4446464089882718,-0.5905041284600904,1.016062568053151,1.32704357299591,0.3605303080395066,0.0,12.2219669275078
control_20260925,targets,diagnostic,retry19_zero_to_boundary_1,120,120,0,2.382649203791889,8.168118569591835,8.465705236253635,8.48697867303162,0.575,1.0,0,1.898563619414349,-0.04775528980760734,0.4686606272374569,1.0117791135641614,3.1749093088414444,0.36687806173853427,0.0,14.61838750320066
control_20260925,targets,diagnostic,retry19_zero_to_boundary_2,120,120,0,3.394506561267737,8.347593201878217,8.545501193762723,8.557370058046114,0.45,1.0,0,1.8970188284246143,0.024345892016872442,0.3816352883207348,1.0132426487402042,3.8001384453632614,0.3891351669639464,0.0,14.824923885965383
control_20260925,targets,diagnostic,off_grid_test,3000,3000,0,2.397562615724178,7.5452176642499245,15.853995259714482,71.83002924154032,0.6813333333333333,0.9716666666666667,0,,,,,,,,
control_20260925,targets,diagnostic,large_star,407,407,0,3.1765034773182745,26.70337199026541,42.21683331625974,55.75985341413295,0.47174447174447176,0.85995085995086,0,1.3027611733198603,-0.07954866854147077,-0.9968982804953832,0.9982342759244676,15.54726447863409,2.9285140429687826,0.0,0.5335107718247504
control_20260925,targets,diagnostic,large_helix,523,523,0,3.0871094351216994,13.386524513050556,37.67519072644819,68.58380786977072,0.4837476099426386,0.8891013384321224,0,-0.253886922390598,-0.40093621580625033,-1.6339901306515903,1.000207018377334,,3.1046782820417516,0.0,11.404713275827257
control_20260925,targets,diagnostic,large_tapered_helix,574,574,0,6.566780339972487,13.568181337501885,14.717860819047369,14.989316241759843,0.03832752613240418,0.7282229965156795,0,-4.576244946458749,-0.2536757615522023,-1.8242401848047427,0.9905755594985683,,0.921767112222013,0.0,3.416509287938214
control_20260925,targets,diagnostic,circle_u100_center25_r5,128,128,0,0.7636473825691522,0.7856373423108904,0.7859724694281767,0.7860089499806554,1.0,1.0,0,-0.6264688909135772,0.3131301099048828,-0.3000177094659662,0.9955740832430076,0.6920897187654207,0.008234646818096623,0.0,0.006972769368936767
control_20260925,targets,diagnostic,circle_u100_center25_r10,128,128,0,0.7641524004026851,0.811828705694203,0.812483666108282,0.8125800425166805,1.0,1.0,0,-0.6218497191111446,0.30624119461303767,-0.30511814623214456,0.9956433180263522,0.7498990971086861,0.016719449314544964,0.0,0.013657817019086747
control_20260925,targets,diagnostic,circle_u100_center25_r20,128,128,0,0.7681971191394967,0.872332096479965,0.8735614618835198,0.8736556640152774,1.0,1.0,0,-0.6046499148146829,0.2785753471552391,-0.32534180131808504,0.9959079599784272,0.846306023906851,0.03451294587607443,0.0,0.026183530183243882
control_20260925,targets,diagnostic,circle_u100_center25_r40,128,128,0,0.7980632004860579,1.004182752521806,1.0092443542404297,1.009781767249699,1.0,1.0,0,-0.5546923467022908,0.16770431974543934,-0.4042130045533807,0.9968014181271448,0.964660008369167,0.07364053831013873,0.0,0.04793170627421073
control_20260925,targets,diagnostic,circle_u100_center350_r5,128,128,0,1.5652157641978153,1.7119130292967364,1.7140118882025202,1.714214902513495,1.0,1.0,0,0.4556057193143542,1.449388057099126,-0.356695745116323,0.9992985926132208,0.6039627004114423,0.009256400429248218,0.0,0.002530728494781868
control_20260925,targets,diagnostic,circle_u100_center350_r10,128,128,0,1.551388684800457,1.8436210299895956,1.8480730459185044,1.8483192161015531,1.0,1.0,0,0.43166854494428375,1.4261633187315883,-0.361055325980546,0.9991703391606184,0.7283816373077401,0.018625285536390083,0.0,0.004974392087965907
control_20260925,targets,diagnostic,circle_u100_center350_r20,128,128,0,1.503607154904282,2.0844837896377966,2.0957596606626034,2.0964063945544202,1.0,1.0,0,0.3360267062815208,1.3326444523516638,-0.37827998271453983,0.9986603268329712,0.9446023870179676,0.03764288006323278,0.0,0.009570088873072953
control_20260925,targets,diagnostic,circle_u100_center350_r40,128,128,0,1.6836037243787092,2.5093808184514512,2.5434575407614832,2.5455114242068704,1.0,1.0,0,-0.04430638232340994,0.9484848826195962,-0.4443898606438488,0.9966121974299529,1.638479097191636,0.07669576730325005,0.0,0.01759934976839318
control_20260925,targets,diagnostic,circle_u150_center25_r5,128,128,0,2.0935916529030023,2.1685355103303197,2.1693591887010846,2.1694671818719566,1.0,1.0,0,-0.5726632649845301,-0.2746202429246531,-1.980583673881103,1.0094456205556976,0.7260083102345716,0.0065940140351184034,0.0,0.005542485068053785
control_20260925,targets,diagnostic,circle_u150_center25_r10,128,128,0,2.090796209802165,2.210261043499619,2.2123009868770325,2.2124166889270906,1.0,1.0,0,-0.558447226322055,-0.2673161725435601,-1.9419903877467295,1.0093338101413247,0.8551955086073204,0.013216644495126112,0.0,0.011119974855603884
control_20260925,targets,diagnostic,circle_u150_center25_r20,128,128,0,2.068023292815586,2.270780561590157,2.282017691575308,2.2831191018995916,1.0,1.0,0,-0.5030793491053263,-0.23716147571183363,-1.793015902392628,1.0088946513103902,1.0517336031868219,0.026568455365677736,0.0,0.022339841227819204
control_20260925,targets,diagnostic,circle_u150_center25_r40,128,128,0,1.541419182833474,2.408790909076167,2.466200247036422,2.4691136874543886,1.0,1.0,0,-0.3035492367459668,-0.10493302180494753,-1.2758846451194987,1.0072717954383186,1.2551686315520616,0.053633213353985486,0.0,0.04473485757752742
control_20260925,targets,diagnostic,circle_u150_center350_r5,128,128,0,1.9492211735213174,1.9910257662514115,1.9916628104971275,1.991682951167602,1.0,1.0,0,0.1543181988261904,0.5976258775297482,-1.8197037969355179,1.016751852084017,0.35907206782029855,0.009454262471767024,0.0,0.003423312156351547
control_20260925,targets,diagnostic,circle_u150_center350_r10,128,128,0,2.0294547918767467,2.0855867505537278,2.088276236363555,2.0883937652610327,1.0,1.0,0,0.15643255098919673,0.5993585107501999,-1.8184603488008186,1.0166974305255758,0.5634438020702404,0.01898749900581232,0.0,0.00673495338781603
control_20260925,targets,diagnostic,circle_u150_center350_r20,128,128,0,2.1820145644716202,2.373364271274336,2.382037315072596,2.382719396653696,1.0,1.0,0,0.16452921259005673,0.6062203053670435,-1.8133388888029152,1.016483122357038,0.9608999166694443,0.038265281051350186,0.0,0.013006667871474458
control_20260925,targets,diagnostic,circle_u150_center350_r40,128,128,0,2.621724193319727,3.1095945617076457,3.130725929261622,3.132959181727435,0.7734375,1.0,0,0.19197495456512065,0.6314952117894745,-1.7902060861048796,1.0156194640507605,1.6549197466273147,0.07751581689047471,0.0,0.024109153707543407
control_20260925,zero,diagnostic,exact_zero,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0,0,,,,,,,,
junction_20260925,on_grid,test,all,8272,8272,0,3.0850340494410977,9.668843716059367,16.364785648100337,83.44484327635463,0.48416344294003866,0.9546663442940039,0,,,,,,,,
junction_20260925,on_grid,test,core,71,71,0,1.77724805581482,4.0245741962545205,6.628696794272622,7.96870583037189,0.8873239436619719,1.0,0,,,,,,,,
junction_20260925,on_grid,test,transition,1139,1139,0,1.704834182116487,5.634317687564244,16.792300973293543,83.44484327635463,0.8208955223880597,0.9789288849868305,0,,,,,,,,
junction_20260925,on_grid,test,tip,100,100,0,2.453788084879556,7.4935098780721345,9.882595318102378,10.749451893472663,0.59,0.99,0,,,,,,,,
junction_20260925,on_grid,test,outer,4187,4187,0,3.5134783430519647,9.664416219718474,15.888139039245461,81.90364546067595,0.37544781466443755,0.9558156197754956,0,,,,,,,,
junction_20260925,on_grid,train,all,58629,58629,0,3.0762091571977335,9.423329257523356,16.220926058322146,140.21229273583128,0.4826451073700728,0.9574442681949206,0,,,,,,,,
junction_20260925,on_grid,train,core,417,417,0,1.6583801538831664,4.176917882698662,7.616605671333413,9.136058872654296,0.8657074340527577,1.0,0,,,,,,,,
junction_20260925,on_grid,train,transition,5726,5726,0,1.7994037009985684,7.666230109408737,25.241262888120552,90.46175120946577,0.779252532308767,0.963849109325882,0,,,,,,,,
junction_20260925,on_grid,train,tip,1182,1182,0,2.739796398191354,7.839618705962485,10.343514288561884,11.361543498781527,0.5549915397631133,0.9873096446700508,0,,,,,,,,
junction_20260925,on_grid,train,outer,35986,35986,0,3.3840946452819676,9.111416792858051,15.456542043230563,140.21229273583128,0.40537986994942476,0.962763296837659,0,,,,,,,,
junction_20260925,on_grid,validation,all,7795,7795,0,3.20146411266901,10.390294158446133,19.131156346109265,110.98405027513911,0.46170622193713917,0.9447081462475946,0,,,,,,,,
junction_20260925,on_grid,validation,core,38,38,0,2.0008741230545755,3.256997595714164,5.4901350153902815,6.729549007180325,0.8947368421052632,1.0,0,,,,,,,,
junction_20260925,on_grid,validation,transition,634,634,0,2.0065946641390755,9.571723968199057,40.771977847451545,91.58634437340382,0.7302839116719243,0.9511041009463722,0,,,,,,,,
junction_20260925,on_grid,validation,tip,109,109,0,4.113847112691467,10.43411100036677,11.197656581897494,11.37698524003824,0.3577981651376147,0.8807339449541285,0,,,,,,,,
junction_20260925,on_grid,validation,outer,4553,4553,0,3.3710262111854306,9.396006519980393,17.1280761860845,93.52582938522357,0.4181858115528223,0.9587085438172633,0,,,,,,,,
junction_20260925,targets,diagnostic,fixed_circle_r40_u100,121,121,0,2.2177744498393452,3.182072826684927,3.2591396320642696,3.2632608495566404,0.9008264462809917,1.0,0,-1.0208561941553507,-0.9027300099082592,-0.11497654591603197,1.00789779435823,2.749832279484554,0.14177850547018592,0.0,0.0
junction_20260925,targets,diagnostic,retry17_rounded_rectangle_0,360,360,0,3.5137693080726295,8.0001176980313,8.989425160817957,9.052806040660418,0.3333333333333333,1.0,0,-1.6634257666000216,0.06081296270778253,1.3184243714640023,1.0041470263283956,3.765635756319027,0.2972716572677872,0.0,0.10062149307898159
junction_20260925,targets,diagnostic,retry17_rounded_rectangle_1,360,360,0,3.7271609717456533,6.26906988084576,8.688578290136588,8.865848251972368,0.2833333333333333,1.0,0,-0.5402779952646005,-0.2548762483416962,2.1155154580881117,1.0063933223719836,3.3760909787397404,0.20134522555210183,0.0,0.05871486742636836
junction_20260925,targets,diagnostic,retry17_rounded_rectangle_2,360,360,0,1.850942973596975,4.656863349269096,4.806235180029183,4.822092482404674,0.7722222222222223,1.0,0,1.156594420932204,0.5722098070919581,-0.18451881026963313,0.9998159128124148,3.6451291074830596,0.15139391771768293,0.0,0.0843929636110313
junction_20260925,targets,diagnostic,retry19_exact_seam_rectangle_0,120,120,0,2.368969837375113,4.399722512911601,4.417977948035351,4.419563241358141,0.625,1.0,0,2.02681538244293,-0.07878518255878447,-0.2655492873669772,0.9876729482958448,,0.1748011894467282,0.0,0.06630704957566066
junction_20260925,targets,diagnostic,retry19_exact_seam_rectangle_1,120,120,0,2.4461379954127533,4.50275930858327,4.624962927475009,4.631205311148226,0.5916666666666667,1.0,0,1.5978523931101478,0.01919175436033548,-0.20783327997960876,1.0038352893660674,,0.1827293315258205,0.0,0.05760368102577191
junction_20260925,targets,diagnostic,retry19_exact_seam_rectangle_2,120,120,0,1.9561478817584992,3.8623375500456194,4.062042935249376,4.074608168767847,0.8333333333333334,1.0,0,0.5735300147637531,0.33579693342114625,-0.2777658259995678,0.997908822056633,2.5218827859217137,0.17488870124546899,0.0,0.17367378134685296
junction_20260925,targets,diagnostic,retry19_seam_between_rectangle_0,120,120,0,2.7289830606854624,3.1767374614566206,3.1931486760954844,3.194597252472647,0.775,1.0,0,2.1305507786539426,-0.05050419222950631,0.11877725189410994,1.0175504468566636,2.6218326616503624,0.18148410266276255,0.0,0.06785878317772293
junction_20260925,targets,diagnostic,retry19_seam_between_rectangle_1,120,120,0,2.442471395661615,3.5976166856750473,3.618441176649725,3.6207696210750915,0.7083333333333334,1.0,0,1.5154506143898183,0.12438126698835486,-0.013253066360791833,1.0240745834085485,3.136221055821712,0.1647433090070613,0.0,0.0470252121053031
junction_20260925,targets,diagnostic,retry19_seam_between_rectangle_2,120,120,0,1.8637124853583362,3.6882188970838583,3.8605292331320884,3.881718342751446,0.8333333333333334,1.0,0,0.684320933413457,0.41161074021955985,-0.15630284425150298,1.0012167440468882,3.0721380628382238,0.12126830116628388,0.0,0.11893920665930954
junction_20260925,targets,diagnostic,retry19_slanted_ellipse,120,120,0,2.498122445286386,3.453682262886556,3.471720476018776,3.4732155958722304,0.7166666666666667,1.0,0,1.6475715881626902,0.03311295243492318,-0.042007034686476145,1.0269762710989725,2.865081570848066,0.17511751258266442,0.0,0.030921973919940227
junction_20260925,targets,diagnostic,retry19_spiral_3d,120,120,0,2.5286247632161016,4.757638836810024,5.046384531640014,5.180619946819112,0.725,1.0,0,1.3351212390596279,0.08714513139629713,-0.3741958713936041,0.9614543908100538,,0.16350021457811897,0.0,5.003272795819366
junction_20260925,targets,diagnostic,retry19_star,120,120,0,2.4983400610488324,3.4674505108726814,3.545974471794392,3.565122486733944,0.6333333333333333,1.0,0,1.7268872961015387,0.20857389977796445,0.038388187941723224,1.0333560374466109,2.9594748188813753,0.20577481667226666,0.0,0.10505770094490488
