arm,group,split,case,count,finite_count,nonfinite_count,p50_mm,p95_mm,p99_mm,max_mm,within_3mm,within_10mm,bounds_violations,centroid_dx_mm,centroid_dy_mm,centroid_dz_mm,centered_rms_scale_ratio,plane_p95_mm,beta_step_max_deg,beta_step_gt7deg_rate,endpoint_beta_gap_deg
original_L0,on_grid,test,all,8272,8272,0,19.186414182241673,53.02106847249165,76.7853782586478,156.6309879495537,0.0042311411992263055,0.14941972920696325,0,,,,,,,,
original_L0,on_grid,test,core,71,71,0,91.27013056892538,124.16354866763956,154.64926857162587,156.6309879495537,0.0,0.0,0,,,,,,,,
original_L0,on_grid,test,transition,1139,1139,0,27.001694835996737,59.48213544367145,84.11685708334828,126.19005053907334,0.000877963125548727,0.050921861281826165,0,,,,,,,,
original_L0,on_grid,test,tip,100,100,0,21.699110322551483,34.153618784655116,40.99083840246518,58.746958315274306,0.0,0.09,0,,,,,,,,
original_L0,on_grid,test,outer,4187,4187,0,18.026336578918514,48.96847432131967,68.04632064634208,93.23370159097252,0.0033436828278003345,0.1478385478863148,0,,,,,,,,
original_L0,on_grid,train,all,58629,58629,0,19.10583914094706,50.63761594106925,73.09187516012392,162.8434227232317,0.004315270599873783,0.13302290675263095,0,,,,,,,,
original_L0,on_grid,train,core,417,417,0,77.64688060434035,130.9621120636128,153.30321120261317,162.8434227232317,0.0,0.0,0,,,,,,,,
original_L0,on_grid,train,transition,5726,5726,0,25.343705098397788,56.7722356873247,76.04893051542612,112.92306107827136,0.0022703457911281873,0.048201187565490744,0,,,,,,,,
original_L0,on_grid,train,tip,1182,1182,0,16.38306076630507,38.65159314382977,49.32622247752378,57.96258149535649,0.001692047377326565,0.1260575296108291,0,,,,,,,,
original_L0,on_grid,train,outer,35986,35986,0,18.606914201344814,47.83677690028848,67.91015800186322,106.18023515789915,0.0038348246540321237,0.13016172956149613,0,,,,,,,,
original_L0,on_grid,validation,all,7795,7795,0,19.717122777257632,51.031887649761366,73.02502302147623,154.6306398764211,0.0025657472738935213,0.14175753688261705,0,,,,,,,,
original_L0,on_grid,validation,core,38,38,0,86.46900082076135,126.83790914647268,145.5667555892088,154.6306398764211,0.0,0.0,0,,,,,,,,
original_L0,on_grid,validation,transition,634,634,0,24.65632548482732,65.21702933684928,76.93404379649401,92.54443722313346,0.0015772870662460567,0.07097791798107256,0,,,,,,,,
original_L0,on_grid,validation,tip,109,109,0,21.468863743821615,41.869534176347585,47.571513420113305,50.691906343832756,0.0,0.13761467889908258,0,,,,,,,,
original_L0,on_grid,validation,outer,4553,4553,0,19.358645869489756,47.9723171024216,68.37567362092706,94.61484903069538,0.0015374478365912585,0.12848671205798376,0,,,,,,,,
original_L0,targets,diagnostic,fixed_circle_r40_u100,121,121,0,88.33909263816146,89.84964574842826,89.89917355303585,89.90503752533786,0.0,0.0,0,81.88503070392505,1.1008256321550882,-4.872341587405351,1.811699373202731,84.37567580678818,0.2956598414297783,0.0,0.0
original_L0,targets,diagnostic,retry17_rounded_rectangle_0,360,360,0,19.279832325058784,38.61976392071923,41.0228831858089,41.17060127834281,0.0,0.0,0,-6.331997659969037,-1.9662327838425755,0.4922107717280626,1.0144047338620685,19.924251968180563,0.37827033702643953,0.0,0.10488182357377705
original_L0,targets,diagnostic,retry17_rounded_rectangle_1,360,360,0,17.00350092018258,23.793594454718008,24.486641603921925,24.61319361429651,0.0,0.10555555555555556,0,-8.832770875002721,-2.9886766200307053,10.236613146958486,1.0047143537409107,10.317132870062961,0.22903290479684266,0.0,0.05293439295442195
original_L0,targets,diagnostic,retry17_rounded_rectangle_2,360,360,0,18.229402625586147,28.367021631333177,29.205303225512207,29.259830961299276,0.0,0.044444444444444446,0,-16.08188585142675,6.140094198715111,3.9765322111706745,1.0002732180679863,13.631337813197717,0.18109691631418745,0.0,0.08530223254428924
original_L0,targets,diagnostic,retry19_exact_seam_rectangle_0,120,120,0,126.45091165322381,156.1369034035191,156.57790582503043,156.59460382118723,0.0,0.0,0,122.51459618196304,1.7300389527373778,-3.711754325348089,1.3610180821204751,,0.31501308697710856,0.0,0.2512373695408781
original_L0,targets,diagnostic,retry19_exact_seam_rectangle_1,120,120,0,124.3706433205245,155.85563859877212,157.1396766425249,157.25999023411828,0.0,0.0,0,121.03998245080935,1.411371118422422,-2.9389264839400555,1.4667760201471323,,0.2562354004866746,0.0,0.21003812203461075
original_L0,targets,diagnostic,retry19_exact_seam_rectangle_2,120,120,0,112.98391756018017,146.2807703504711,146.75301246382867,146.77667628961882,0.0,0.0,0,116.29265963635336,-1.1051268465339994,-2.646018120044143,1.870522553484765,81.94065081111546,0.3858979507820513,0.0,0.16343213613499033
original_L0,targets,diagnostic,retry19_seam_between_rectangle_0,120,120,0,126.60864954190008,146.34310051906198,146.72299660040088,146.74276479488003,0.0,0.0,0,119.57546410766996,-1.2012833707850978,-3.718816900152555,1.6112840836431315,121.51222717262605,0.3088022172059588,0.0,0.2584300790052172
original_L0,targets,diagnostic,retry19_seam_between_rectangle_1,120,120,0,122.8529566303827,144.52261554733155,144.94037646905633,144.96825756064933,0.0,0.0,0,117.82680938611945,1.3283575335223314,-2.8385430665891422,1.7174221118923827,121.24260926426271,0.2726646734831998,0.0,0.2378017204328019
original_L0,targets,diagnostic,retry19_seam_between_rectangle_2,120,120,0,114.44805657621924,142.00782848562002,142.397310843774,142.4332770659337,0.0,0.0,0,115.02202295029868,1.5584283387876972,-2.44348191804724,1.9359139217295307,110.18447211665193,0.3189123245803925,0.0,0.22094496530613583
original_L0,targets,diagnostic,retry19_slanted_ellipse,120,120,0,123.57639736291738,144.2417709956006,144.53138914036964,144.56354182383248,0.0,0.0,0,118.63437610025953,1.6697924851452401,-3.083050867048486,1.6606880577457122,120.89576838287115,0.2846590192742711,0.0,0.17322753787434106
original_L0,targets,diagnostic,retry19_spiral_3d,120,120,0,124.00197165420794,158.4232972596541,160.89764678630922,161.6954350060466,0.0,0.0,0,123.74088059742894,-0.6169789411792971,-2.781419921783747,1.4206930789513452,,0.3866468169915197,0.0,1.2953233914215272
original_L0,targets,diagnostic,retry19_star,120,120,0,120.78135914479668,141.9091129639893,142.3398355727429,142.36441038326822,0.0,0.0,0,120.87466129209872,0.8728883076175469,-2.8567775111344305,1.7776468658855078,115.08369795700546,0.33802446119834434,0.0,0.20691898007994958
original_L0,targets,diagnostic,retry19_zero_to_boundary_0,120,120,0,26.076266922345894,36.6703962031814,36.853853877807026,36.8610995636563,0.0,0.0,0,6.718834050103471,12.44492902524578,-14.057647355413486,1.0692255164217035,22.194688305419675,0.16121082054569533,0.0,11.97878240463463
original_L0,targets,diagnostic,retry19_zero_to_boundary_1,120,120,0,30.150947008349497,33.794250406422776,33.890451780838916,33.895926194621964,0.0,0.0,0,-7.367842971030098,-13.320686028018352,-18.9883796922891,1.04170080138885,3.4267174192340013,0.16405602122182877,0.0,9.563758995259645
original_L0,targets,diagnostic,retry19_zero_to_boundary_2,120,120,0,31.19316837688508,35.72082140492754,35.81312299327304,35.822518497325426,0.0,0.0,0,-7.34773287586119,-12.86654893767066,-19.412312777926417,1.049388826846757,5.152874562226519,0.16278517914938326,0.0,9.916932709315372
original_L0,targets,diagnostic,off_grid_test,3000,3000,0,18.312899582790138,46.66265058529183,80.13549989379487,141.39316775362192,0.005333333333333333,0.18933333333333333,0,,,,,,,,
original_L0,targets,diagnostic,large_star,407,407,0,22.152540354913555,49.751506602524586,67.25048762389588,79.29599372195233,0.0,0.10319410319410319,0,0.33074494671007254,5.1480925849488965,1.3752848146395553,0.9859632371356144,27.568243536320256,0.7986879571520294,0.0,0.5987589286356475
original_L0,targets,diagnostic,large_helix,523,523,0,19.188465323081438,39.18600027917885,52.24870029448278,53.01027088756164,0.0,0.16061185468451242,0,-1.3543722789108064,2.0543134636799234,-1.0700295773637716,1.0001625042449855,,0.35039724215811663,0.0,9.83037417553105
original_L0,targets,diagnostic,large_tapered_helix,574,574,0,39.77251833472498,55.80971743174459,58.68848790874844,59.250770398690115,0.0,0.024390243902439025,0,16.26357986621289,1.5562026470266759,0.8380755100619318,0.9341046820195926,,0.09703849857035456,0.0,2.8155369511246597
original_L0,targets,diagnostic,circle_u100_center25_r5,128,128,0,94.93746483234307,96.86233752111316,96.88719320134697,96.88937892214999,0.0,0.0,0,91.56888634189157,24.248615170428547,-4.492598145303537,1.8723747291219552,94.58525503640121,0.03388671624676211,0.0,0.03344178011514602
original_L0,targets,diagnostic,circle_u100_center25_r10,128,128,0,94.43609304363972,98.2485576973581,98.30025438304787,98.30350420778483,0.0,0.0,0,90.82633668322804,23.864238433324633,-4.47674424222277,1.865902784905445,96.81984856077729,0.06812733501010873,0.0,0.06636733399921396
original_L0,targets,diagnostic,circle_u100_center25_r20,128,128,0,92.46523205212873,99.83649866443332,99.93353457705284,99.94178867142378,0.0,0.0,0,87.91754026290086,22.38896092267658,-4.413573843663544,1.8406082373755146,99.46096483022352,0.13727858474591112,0.0,0.13034452867574658
original_L0,targets,diagnostic,circle_u100_center25_r40,128,128,0,85.10423913760737,98.00492118754984,98.18856229631032,98.20141006486745,0.0,0.0,0,77.20569605901095,17.369784093434692,-4.165329851632621,1.7482328777717506,96.67130883080586,0.2755847861266852,0.0,0.24885331335542632
original_L0,targets,diagnostic,circle_u100_center350_r5,128,128,0,13.238558079512696,14.243486010510104,14.25622633890684,14.257104368440443,0.0,0.0,0,-4.912446061369526,10.784230553682285,5.806205213164967,0.9338542703804531,5.874618498068029,0.015575819515390953,0.0,0.004776943592057004
original_L0,targets,diagnostic,circle_u100_center350_r10,128,128,0,13.200268037181523,15.082409697489798,15.104601469789499,15.105673763936917,0.0,0.0,0,-4.855369083269449,10.61248394473717,5.79944071246103,0.9335362955187666,6.7580304341614434,0.031247261679162083,0.0,0.009071344991423185
original_L0,targets,diagnostic,circle_u100_center350_r20,128,128,0,13.045912290637158,16.30805124457178,16.33478369294513,16.33729345039351,0.0,0.28125,0,-4.630441160602008,9.9284632769952,5.772314665759963,0.9322621566054216,8.330517222130561,0.06292098329462684,0.0,0.016267989818662988
original_L0,targets,diagnostic,circle_u100_center350_r40,128,128,0,12.41393333951298,17.203174994155486,17.234894353347773,17.236996977943743,0.0,0.421875,0,-3.783052278989684,7.239583945123359,5.662703820031015,0.9272991174560795,10.666764536603267,0.12763873322779015,0.0,0.025607019528612492
original_L0,targets,diagnostic,circle_u150_center25_r5,128,128,0,140.31620300992762,143.5893096467645,143.6341716747122,143.63683629200443,0.0,0.0,0,137.79126353904246,25.868224926228255,0.801943221377297,2.2003921114511065,142.08681534067873,0.040713690425388194,0.0,0.04023432320344437
original_L0,targets,diagnostic,circle_u150_center25_r10,128,128,0,139.54653740412363,146.06821689219186,146.15967637201902,146.16413765901754,0.0,0.0,0,136.77498847316062,25.25020636065293,0.743905694331185,2.1902894928578953,145.31449847112572,0.08182179759491819,0.0,0.07993090241188246
original_L0,targets,diagnostic,circle_u150_center25_r20,128,128,0,136.53575805735602,149.24407172197115,149.4148049561188,149.42710484498656,0.0,0.0,0,132.79945452953757,22.89208565196982,0.5254416927349449,2.1508802297993057,149.16496341942513,0.16487465674645183,0.0,0.15742660226081737
